Date,AAPL,MSFT,GOOGL,TSLA,AMZN
2025-03-11,220.84,380.45,164.04,230.58,196.59
2025-03-12,216.98,383.27,167.11,248.09,198.89
2025-03-13,209.68,378.77,162.76,240.68,193.89
2025-03-14,213.49,388.56,165.49,249.98,197.95
2025-03-17,214.0,388.7,164.29,238.01,195.74
2025-03-18,212.69,383.52,160.67,225.31,192.82
2025-03-19,215.24,387.82,163.89,235.86,195.54
2025-03-20,214.1,386.84,162.8,236.26,194.95
2025-03-21,218.27,391.26,163.99,248.71,196.21
2025-03-24,220.73,393.08,167.68,278.39,203.26
2025-03-25,223.75,395.16,170.56,288.14,205.71
2025-03-26,221.53,389.97,165.06,272.06,201.13
2025-03-27,223.85,390.58,162.24,273.13,201.36
2025-03-28,217.9,378.8,154.33,263.55,192.72
2025-03-31,222.13,375.39,154.64,259.16,190.26
2025-04-01,223.19,382.19,157.07,268.46,192.17
2025-04-02,223.89,382.14,157.04,282.76,196.01
2025-04-03,203.19,373.11,150.72,267.28,178.41
2025-04-04,188.38,359.84,145.6,239.43,171.0
2025-04-07,181.46,357.86,146.75,233.29,175.26
2025-04-08,172.42,354.56,144.7,221.86,170.66
2025-04-09,198.85,390.49,158.71,272.2,191.1
2025-04-10,190.42,381.35,152.82,252.4,181.22
2025-04-11,198.15,388.45,157.14,252.31,184.87
2025-04-14,202.52,387.81,159.07,252.35,182.12
2025-04-15,202.14,385.73,156.31,254.11,179.59
2025-04-16,194.27,371.61,153.33,241.55,174.33
2025-04-17,196.98,367.78,151.16,241.37,172.61
2025-04-21,193.16,359.12,147.67,227.5,167.32
2025-04-22,199.74,366.82,151.47,237.97,173.18
2025-04-23,204.6,374.39,155.35,250.74,180.6
2025-04-24,208.37,387.3,159.28,259.51,186.54
2025-04-25,209.28,391.85,161.96,284.95,188.99
2025-04-28,210.14,391.16,160.61,285.88,187.7
2025-04-29,211.21,394.04,160.16,292.03,187.39
2025-04-30,212.5,395.26,158.8,282.16,184.42
2025-05-01,213.32,425.4,161.3,280.52,190.2
2025-05-02,205.35,435.28,164.03,287.21,189.98
2025-05-05,198.89,436.17,164.21,280.26,186.35
2025-05-06,198.51,433.31,163.23,275.35,185.01
2025-05-07,196.25,433.35,151.38,276.22,188.71
2025-05-08,197.49,438.17,154.28,284.82,192.08
2025-05-09,198.53,438.73,152.75,298.26,193.06
2025-05-12,210.79,449.26,158.46,318.38,208.64
2025-05-13,212.93,449.14,159.53,334.07,211.37
2025-05-14,212.33,452.94,165.37,347.68,210.25
2025-05-15,211.45,453.13,163.96,342.82,205.17
2025-05-16,211.26,454.27,166.19,349.98,205.59
2025-05-19,208.78,458.87,166.54,342.09,206.16
2025-05-20,206.86,458.17,163.98,343.82,204.07
2025-05-21,202.09,452.57,168.56,334.62,201.12
2025-05-22,201.36,454.86,170.87,341.04,203.1
2025-05-23,195.27,450.18,168.47,339.34,200.99
2025-05-27,200.21,460.69,172.9,362.89,206.02
2025-05-28,200.42,457.36,172.36,356.9,204.72
2025-05-29,199.95,458.68,171.86,358.43,205.7
2025-05-30,200.85,460.36,171.74,346.46,205.01
2025-06-02,201.7,461.97,169.03,342.69,206.65
2025-06-03,203.27,462.97,166.18,344.27,205.71
2025-06-04,202.82,463.87,168.05,332.05,207.23
2025-06-05,200.63,467.68,168.21,284.7,207.91
2025-06-06,203.92,470.38,173.68,295.14,213.57
2025-06-09,201.45,472.75,176.09,308.58,216.98
2025-06-10,202.67,470.92,178.6,326.09,217.61
2025-06-11,198.78,472.62,177.35,326.43,213.2
2025-06-12,199.2,478.87,175.7,319.11,213.24
2025-06-13,196.45,474.96,174.67,325.31,212.1
2025-06-16,198.42,479.14,176.77,329.13,216.1
2025-06-17,195.64,478.04,175.95,316.35,214.82
2025-06-18,196.58,480.24,173.32,322.05,212.52
2025-06-20,201.0,477.4,166.64,322.16,209.69
2025-06-23,201.5,486.0,165.19,348.68,208.47
2025-06-24,200.3,490.11,166.77,340.47,212.77
2025-06-25,201.56,492.27,170.68,327.55,211.99
2025-06-26,201.0,497.45,173.54,325.78,217.12
2025-06-27,201.08,495.94,178.53,323.63,223.3
2025-06-30,205.17,497.41,176.23,317.66,219.39
2025-07-01,207.82,492.05,175.84,300.71,220.46
2025-07-02,212.44,491.09,178.64,315.65,219.92
2025-07-03,213.55,498.84,179.53,315.35,223.41
2025-07-07,209.95,497.72,176.79,293.94,223.47
2025-07-08,210.01,496.62,174.36,297.81,219.36
2025-07-09,211.14,503.51,176.62,295.88,222.54
2025-07-10,212.41,501.48,177.62,309.87,222.26
2025-07-11,211.16,503.32,180.19,313.51,225.02
2025-07-14,208.62,503.02,181.56,316.9,225.69
2025-07-15,209.11,505.82,182.0,310.78,226.35
2025-07-16,210.16,505.62,182.97,321.67,223.19
2025-07-17,210.02,511.7,183.58,319.41,223.88
2025-07-18,211.18,510.05,185.06,329.65,226.13
2025-07-21,212.48,510.06,190.1,328.49,229.3
2025-07-22,214.4,505.27,191.34,332.11,227.47
2025-07-23,214.15,505.87,190.23,332.56,228.29
2025-07-24,213.76,510.88,192.17,305.3,232.23
2025-07-25,213.88,513.71,193.18,316.06,231.44
2025-07-28,214.05,512.5,192.58,325.59,232.79
2025-07-29,211.27,512.57,195.75,321.2,231.01
2025-07-30,209.05,513.24,196.53,319.04,230.19
2025-07-31,207.57,533.5,191.9,308.27,234.11
2025-08-01,202.38,524.11,189.13,302.63,214.75
